name,description
php-curl,PHP cURL extension for HTTP requests
nested-loops,"A logical structure used in computer programming where two or more repeating statements are placed in a &quot;nested&quot; form (i.e., one loop is situated within the body of another). The inner loop is repeated in full on every pass through the outer loop."
serverless-framework,"Serverless Framework – Build and maintain web, mobile and IoT applications running on AWS, Google Cloud or Azure"
azure-devops,"Azure DevOps is a suite of 5 services you use together or independently. For example, Azure Pipelines provides build services (CI) as well as release management for continuous delivery (CD) to any cloud and on-premises servers. Azure Repos provides unlimited private Git hosting, Azure Boards provides agile planning (issues, Kanban, Scrum, and dashboards).
Please note that there&#39;s a separate tag for Azure DevOps Server (formerly TFS) - the on-prem version."
graphics2d,"Graphics2D is the part of the Java 2D API related to two-dimensional graphics, text, and imaging capabilities. Unlike the older Graphics class, Graphics2D supports coordinate transforms. It also gives better control over geometry, colors and text layout."
ormlite,ORMLite is a Java open source software framework that provides lightweight object relational mapping (ORM) between Java classes and SQL databases. It supports JDBC databases as well as Android mobile platform.
spree,"Spree is a complete open source e-commerce solution for Ruby on Rails, freely available for commercial use under the terms of the New BSD License."
specflow,SpecFlow  is a Behavior-Driven Development (BDD) tool for .NET.
grand-central-dispatch,"Grand Central Dispatch (GCD) provides a simple and robust mechanism for concurrent and asynchronous operations, primarily in Apple operating systems (e.g., iOS, macOS, watchOS, and tvOS), but also FreeBSD and MidnightBSD."
rgb,"RGB stands for Red-Green-Blue and specifies a color using three values, which represent the respective amount of red, green, and blue in the color.  RGB is the basis for the color model used by most color display devices nowadays."
primeng,"Use this tag for questions about PrimeNG, a collection of UI Components for Angular. Questions tagged [primeng] should also be tagged [angular], but NOT [primefaces]."
gesture,"A gesture is a specific pattern of touch, cursor, or physical movement that may be recognized by an application to perform a specific task."
searchview,is an Android GUI widget that provides a user interface for the user to enter a search query and submit a request to a search provider
password-protection,Password protection is used to ensure only authorized users (i.e. those who know the password) can access or modify certain information.
grammar,A formal grammar is a set of production rules that describe how to form strings of valid syntax.  Formal Grammars are most often used to specify the syntax of a programming language.
arcgis,ArcGIS is a platform consisting of a group of geographic information system (GIS) software products produced by Esri. The GIS Stack Exchange should be considered for questions with this tag.
yacc,The computer program yacc is a parser generator developed by Stephen C. Johnson at AT&amp;T for the Unix operating system.
bufferedimage,"The Java class BufferedImage is used to read and manipulate images and assist in
double-buffering in desktop GUI applications."
android-image,This tag is for questions related to images on Android
notepad++,Notepad++ is a free and open source text editor for Windows. It is designed as a replacement for the built-in Notepad application.
email,Use this tag for questions involving code to send or receive email messages. Posting to ask why the emails you send are marked as spam is off-topic for Stack Overflow.  Questions about configuration of mail servers belong on Server Fault.
